"","eventid","eventname","subtype","description","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","latitude","longitude","address"
"Leopard Bar",2,"Leopard Bar","bars","The Sedgwick County Zoo is an AZA-accredited wildlife park and major attraction in Wichita, Kansas. Founded in 1971 with the help of the Sedgwick County Zoological Society, the zoo has quickly become recognized both nationally and internationally for its support of conservation programs and successful breeding of rare and endangered species.",NA,NA,NA,NA,NA,NA,NA,NA,141,18.3770622,-33.9533707,"Victoria Road, Camps Bay, Western Cape, South Africa"
"The Piano Bar Cape Town",4,"The Piano Bar Cape Town","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,122,18.4171,-33.9155299,"47 Napier Street, Cape Town Central, Western Cape, South Africa"
"Alexander Bar, Cafe & Theatre",6,"Alexander Bar, Cafe & Theatre","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.42052,-33.9197599,"76 Strand Street, Cape Town Central, Western Cape, South Africa"
"Bascule Whisky, Wine & Cocktail Bar",8,"Bascule Whisky, Wine & Cocktail Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,72,18.4211577,-33.9096181,"West Quay Road, Cape Town Central, Western Cape, South Africa"
"Orphanage",10,"Orphanage","bars","An orphanage is a residential institution devoted to the care of orphans – children whose biological parents are deceased or otherwise unable or unwilling to care for them.",NA,NA,NA,NA,NA,NA,NA,NA,85,18.4132399,-33.9258499,"227 Bree Street, Cape Town Central, Western Cape, South Africa"
"Ashanti Lodge Gardens",12,"Ashanti Lodge Gardens","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,435,18.41219,-33.93347,"11 Hof Street, Cape Town Central, Western Cape, South Africa"
"Twankey Bar",14,"Twankey Bar","bars","Robert Guy Bathurst is an English actor. Bathurst was born in the Gold Coast in 1957, where his father was working as a management consultant. His family moved to Dublin, Ireland, in 1959 and Bathurst was enrolled at an Anglican boarding school.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.4176948,-33.9232063,"Wale Street, Cape Town Central, Western Cape, South Africa"
"House of Machines",16,"House of Machines","bars","A weigh house or weighing house is a public building at or within which goods, and the like, are weighed. Most of these buildings were built before 1800, prior to the establishment of international standards for weights.",NA,NA,NA,NA,NA,NA,NA,NA,43,18.4187664,-33.9213101,"84 Shortmarket Street, Cape Town Central, Western Cape, South Africa"
"Charango Grill and Bar",18,"Charango Grill and Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,100,18.417,-33.9219099,"114 Bree Street, Cape Town Central, Western Cape, South Africa"
"Long Street",20,"Long Street","bars","Long Street is a major street located in the City Bowl section of Cape Town, South Africa. It is famous as a bohemian hang out and the street is lined with many book stores, various ethnic restaurants and bars.",NA,NA,NA,NA,NA,NA,NA,NA,554,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"Cape Royale Luxury Hotel",22,"Cape Royale Luxury Hotel","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1325,18.4120253,-33.9090462,"47 Main Road, Cape Town Central, Western Cape, South Africa"
"Cape Grace",24,"Cape Grace","bars","The Chedi Muscat is a luxury 5-star hotel and restaurant in Al Azaiba in northwest Muscat, Oman, set on a private beach. The hotel has 158 rooms and fuses together traditional Omani architecture with Zen, Arabic, Japanese and European influences.",NA,NA,NA,NA,NA,NA,NA,NA,1653,18.4211577,-33.9096181,"West Quay Road, Cape Town Central, Western Cape, South Africa"
"The Bay Hotel",26,"The Bay Hotel","bars","Mandalay Bay is a 43-story luxury resort and casino on the Las Vegas Strip in Paradise, Nevada. It is owned and operated by MGM Resorts International.",NA,NA,NA,NA,NA,NA,NA,NA,900,18.3499215,-34.030318,"69 Victoria Road, Camps Bay, Western Cape, South Africa"
"The Power and the Glory",28,"The Power and the Glory","bars","The Power and the Glory is a novel by British author Graham Greene. The title is an allusion to the doxology often recited at the end of the Lord's Prayer: ""For thine is the kingdom, the power, and the glory, forever and ever, amen.""",NA,NA,NA,NA,NA,NA,NA,NA,36,18.4020097,-33.9352186,"KloofNek Road, Cape Town Central, Western Cape, South Africa"
"Once in Cape Town",30,"Once in Cape Town","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,331,18.41077,-33.93035,"73 Kloof Street, Cape Town Central, Western Cape, South Africa"
"Tjing Tjing",32,"Tjing Tjing","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,54,18.41884,-33.92234,"165 Longmarket Street, Cape Town Central, Western Cape, South Africa"
"Winchester Mansions",34,"Winchester Mansions","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,834,18.3907154,-33.9106404,"221 Beach Road, Cape Town Central, Western Cape, South Africa"
"The Twelve Apostles Hotel and Spa",36,"The Twelve Apostles Hotel and Spa","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1308,18.3770622,-33.9533707,"Victoria Road, Camps Bay, Western Cape, South Africa"
"Julep Bar",38,"Julep Bar","bars","Orange Julius is a chain of fruit drink beverage stores. It has been in business since the late 1920s. The eponymous beverage is a mixture of ice, orange juice, sweetener, milk, powdered egg whites and vanilla flavoring.",NA,NA,NA,NA,NA,NA,NA,NA,10,21.8568586,-33.2277918,"off Long St, Cape Town Central, Western Cape, South Africa"
"Grand Daddy Hotel",40,"Grand Daddy Hotel","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,281,18.42043,-33.92109,"38 Long Street, Cape Town Central, Western Cape, South Africa"
"Park Inn by Radisson Cape Town Foreshore",42,"Park Inn by Radisson Cape Town Foreshore","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,594,18.42598,-33.91856,"29 Heerengracht Street, Cape Town Central, Western Cape, South Africa"
"Aces'n'spades Bar",44,"Aces'n'spades Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,9,18.41999,-33.92122,"62 HOUT STREET, Cape Town Central, Western Cape, South Africa"
"Planet Bar",46,"Planet Bar","bars","Planet Hollywood International, Inc. is a theme restaurant inspired by the popular portrayal of Hollywood.
It was launched in New York on October 22, 1991, with the backing of Hollywood stars Sylvester Stallone, Bruce Willis, Demi Moore, and Arnold Schwarzenegger.",NA,NA,NA,NA,NA,NA,NA,NA,26,18.4133042,-33.931194,"76 Orange St, Cape Town Central, Western Cape, South Africa"
"Tiger's Milk on Long",48,"Tiger's Milk on Long","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,148,18.42021,-33.92127,"44 Long Street, Cape Town Central, Western Cape, South Africa"
"Van Hunks",50,"Van Hunks","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,125,18.40857,-33.93199,"1 Upper Union Street, Cape Town Central, Western Cape, South Africa"
"The Village Idiot",52,"The Village Idiot","bars","Family Guy is an American adult animated sitcom created by Seth MacFarlane for the Fox Broadcasting Company. The series centers on the Griffins, a family consisting of parents Peter and Lois; their children Meg, Chris, and Stewie; and their anthropomorphic pet dog Brian.",NA,NA,NA,NA,NA,NA,NA,NA,67,18.42086,-33.91955,"32 Loop Street, Cape Town Central, Western Cape, South Africa"
"The Rose Bar",54,"The Rose Bar","bars","Jack Rose was an American guitarist originally from Virginia and later based in Philadelphia, Pennsylvania. Rose is best known for his solo acoustic guitar work. He was also a member of the noise/drone band Pelt.",NA,NA,NA,NA,NA,NA,NA,NA,25,18.448708,-34.0092747,"Alphen Drive, Constantia, Western Cape, South Africa"
"The Village Lodge",56,"The Village Lodge","bars","Wuksachi Village is a visitor services development in Sequoia National Park, California. It was developed to replace the Giant Forest-Camp Kaweah development, which was regarded as being much too close to sensitive giant sequoia groves.",NA,NA,NA,NA,NA,NA,NA,NA,105,18.4169899,-33.91556,"49 Napier Street, Cape Town Central, Western Cape, South Africa"
"Southern Sun The Cullinan",58,"Southern Sun The Cullinan","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1275,18.4247823,-33.9162357,"1 Cullinan Street, Cape Town Central, Western Cape, South Africa"
"Penthouse on Long",60,"Penthouse on Long","bars","Up the Junction is a 1968 British film directed by Peter Collinson and starring Dennis Waterman, Suzy Kendall, Adrienne Posta, Maureen Lipman and Liz Fraser. It is based on the 1963 book of the same name by Nell Dunn and was adapted by Roger Smith. The film's soundtrack was made by Manfred Mann. The film followed Ken Loach's BBC TV adaptation of 1965, but returned to the original book. It did not cause a similar controversy or have as much impact.",NA,NA,NA,NA,NA,NA,NA,NA,110,18.41827,-33.92297,"112 Long Street, Cape Town Central, Western Cape, South Africa"
"Pakalolo beach bar",62,"Pakalolo beach bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,141,18.8645583,-34.1624959,"Beach Boulevard, Cape Town Central, Western Cape, South Africa"
"Oroboros Tapas Bar",64,"Oroboros Tapas Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,122,18.4681096,-34.1079859,"2 York Road, Muizenberg, Western Cape, South Africa"
"Jerry's Burger Bar",66,"Jerry's Burger Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.4688,-33.93884,"123 Lower Main Road, Cape Town Central, Western Cape, South Africa"
"Cape Milner",68,"Cape Milner","bars","Captain Carl von Brandis was a cavalry officer in Austrian and British service, and later a mining commissioner and landdrost in the South African Republic.",NA,NA,NA,NA,NA,NA,NA,NA,72,18.4083876,-33.927309,"2a Milner Road, Cape Town Central, Western Cape, South Africa"
"AHA Inn on the Square",70,"AHA Inn on the Square","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,85,21.8568586,-33.2277918,"10 Green Market Square Road, Cape Town Central, Western Cape, South Africa"
"Dizzys Cafe",72,"Dizzys Cafe","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,435,18.3800115,-33.9528798,"41 The Drive Camps Bay, Cape Town Central, Western Cape, South Africa"
"Taj Cape Town",74,"Taj Cape Town","bars","The Chedi Muscat is a luxury 5-star hotel and restaurant in Al Azaiba in northwest Muscat, Oman, set on a private beach. The hotel has 158 rooms and fuses together traditional Omani architecture with Zen, Arabic, Japanese and European influences.",NA,NA,NA,NA,NA,NA,NA,NA,45,18.41975,-33.9249,"1 Wale Street, Cape Town Central, Western Cape, South Africa"
"Cafe Manhattan",76,"Cafe Manhattan","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,43,18.42015,-33.9187087,"74 Waterkant Street, Cape Town Central, Western Cape, South Africa"
"The Leopard Bar",78,"The Leopard Bar","bars","The Sedgwick County Zoo is an AZA-accredited wildlife park and major attraction in Wichita, Kansas. Founded in 1971 with the help of the Sedgwick County Zoological Society, the zoo has quickly become recognized both nationally and internationally for its support of conservation programs and successful breeding of rare and endangered species.",NA,NA,NA,NA,NA,NA,NA,NA,100,18.3770622,-33.9533707,"Victoria Road, Camps Bay, Western Cape, South Africa"
"Dash Restaurant & Bar",80,"Dash Restaurant & Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,554,18.4184789,-33.906006,"Portswood Close, Portswood Ridge, Cape Town Central, Western Cape, South Africa"
"Southern Sun Waterfront Cape Town",82,"Southern Sun Waterfront Cape Town","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1325,18.4241457,-33.9165665,"1 Lower Buitengracht Street, Cape Town Central, Western Cape, South Africa"
"Vista Bar & Lounge",84,"Vista Bar & Lounge","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1653,-123.382134,48.416932,"Dock Road, Victoria & Alfred Waterfront, Cape Town Central, Western Cape, South Africa"
"Codfather Seafood & Sushi",86,"Codfather Seafood & Sushi","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,900,18.3776723,-33.9564171,"37 The Drive, Camps Bay Corner, Camps Bay, Western Cape, South Africa"
"SaltyCrax Backpackers / Surflodge",88,"SaltyCrax Backpackers / Surflodge","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,36,18.48295,-33.82135,"20 Briza Road, Table View, Western Cape, South Africa"
"Zenith Sky Bar",90,"Zenith Sky Bar","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,331,18.4120253,-33.9090462,"47 Main Road, Cape Town Central, Western Cape, South Africa"
"Jakes in the Village",92,"Jakes in the Village","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,54,18.4446498,-34.0791853,"Steenberg Road, Tokai, Western Cape, South Africa"
"A Sunflower Stop",94,"A Sunflower Stop","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,834,18.3907736,-33.9145631,"179 Main Rd, Cape Town Central, Western Cape, South Africa"
"Brian's Pub",96,"Brian's Pub","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1308,18.3805792,-33.9227875,"115 Regent Road Sea Point, Cape Town Central, Western Cape, South Africa"
"Chapmans Peak Beach Hotel",98,"Chapmans Peak Beach Hotel","bars","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,10,18.3625972,-34.0496872,"20 Peak Drive, Hout Bay, Western Cape, South Africa"
"Sky Bar",100,"Sky Bar","bars","Sky Bar is an American candy bar, produced since 1938 by Necco. Each Sky Bar has four sections, each with a different filling: caramel, vanilla, peanut and fudge, all covered in milk chocolate.",NA,NA,NA,NA,NA,NA,NA,NA,281,18.4169899,-33.91556,"49 Napier Street, Cape Town Central, Western Cape, South Africa"
"District Six Museum",102,"District Six Museum","museums","District Six Museum is a museum in the former inner-city residential area, District Six, in Cape Town, South Africa.
District Six Foundation was founded in 1989 and the museum in 1994, as a memorial to the forced movement of 60,000 inhabitants of various races in District Six during Apartheid in South Africa in the 1970s.",NA,NA,NA,NA,NA,NA,NA,NA,1026,-116.1130479,44.9113572,"15 & 25A Buitenkant Street, Cape Town Central, Western Cape, South Africa"
"South African Jewish Museum",104,"South African Jewish Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,407,18.41515,-33.93188,"88 Hatfield Street, Cape Town Central, Western Cape, South Africa"
"Iziko South African Museum and Planetarium",106,"Iziko South African Museum and Planetarium","museums","The Iziko Museums of Cape Town — an amalgamation of 12 national museums located near the Cape Town city centre. Iziko museums spheres – natural history, social history and arts.",NA,NA,NA,NA,NA,NA,NA,NA,208,21.8568586,-33.2277918,"Between Government Avenue and Queen Victoria Street, Cape Town Central, Western Cape, South Africa"
"The Heart of Cape Town Museum",108,"The Heart of Cape Town Museum","museums","Cape Town is a coastal city in South Africa. It is the second most populous urban area in South Africa, after Johannesburg. It is also the provincial capital and primate city of the Western Cape.",NA,NA,NA,NA,NA,NA,NA,NA,235,21.8568586,-33.2277918,"Groote Schuur Hospital, Main Road, Cape Town Central, Western Cape, South Africa"
"Chavonnes Battery Museum",110,"Chavonnes Battery Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,56,21.8568586,-33.2277918,"Nedbank Building (opp Nelson Mandela gateway), Cape Town Central, Western Cape, South Africa"
"Iziko Bo Kaap Museum",112,"Iziko Bo Kaap Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,38,18.4151545,-33.9213824,"71 Wale St., Cape Town Central, Western Cape, South Africa"
"The Springbok Experience Rugby Museum",114,"The Springbok Experience Rugby Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,315,NA,NA,"Portswood House, Portswood Ridge, Portswood Road, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"Iziko Slave Lodge",116,"Iziko Slave Lodge","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,174,18.4201,-33.9248959,"Corner of Adderley and Wale Streets, Cape Town Central, Western Cape, South Africa"
"Simon's Town Museum",118,"Simon's Town Museum","museums","Established in 1977, Simon's Town Museum is a community museum situated in Simon's Town a suburb of Cape Town in the Western Cape Province of the Republic of South Africa.",NA,NA,NA,NA,NA,NA,NA,NA,62,18.427442,-34.1910179,"Court Road, Simon's Town, Western Cape, South Africa"
"Cape Town Diamond Museum",120,"Cape Town Diamond Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,229,21.8568586,-33.2277918,"Level 1, The Clock Tower, Cape Town Central, Western Cape, South Africa"
"Gold of Africa Museum",122,"Gold of Africa Museum","museums","Knysna is a town with 51,078 inhabitants in the Western Cape Province of South Africa and is part of the Garden Route. It lies 34 degrees south of the equator, and is 72 kilometres east from the town of George on the N2 highway, and 25 kilometres west of Plettenberg Bay on the same road.",NA,NA,NA,NA,NA,NA,NA,NA,64,18.4196601,-33.919168,"96 Strand Street, Cape Town Central, Western Cape, South Africa"
"South African Naval Museum",124,"South African Naval Museum","museums","The South African Naval Museum at the South African Navy's base in Simon's Town is a project by the South African Naval Heritage Trust.",NA,NA,NA,NA,NA,NA,NA,NA,34,18.4356653,-34.1937654,"Private Bag X1, Simon's Town, Western Cape, South Africa"
"First South African Perfume Museum",126,"First South African Perfume Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,66,18.6025199,-33.87092,"3 Viola Road, Cape Town Central, Western Cape, South Africa"
"South African Airforce Museum",128,"South African Airforce Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,5,21.8568586,-33.2277918,"Ysterplaat Airforce Base, Cape Town Central, Western Cape, South Africa"
"Rhodes Cottage Museum",130,"Rhodes Cottage Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,19,18.3907975,-33.9145351,"246 Main Rd., Cape Town Central, Western Cape, South Africa"
"Iziko South African National Gallery",132,"Iziko South African National Gallery","museums","The Iziko South African Museum is a South African national museum located in Cape Town a city that is a capital of South Africa and has the famous prisoner site of Robben Island. The museum was founded in 1825, the first in the country. It has been on its present site in the Company's Garden since 1897.",NA,NA,NA,NA,NA,NA,NA,NA,86,18.4163554,-33.9283744,"Government Ave., Cape Town Central, Western Cape, South Africa"
"Irma Stern Museum",134,"Irma Stern Museum","museums","Irma Stern was a major South African artist who achieved national and international recognition in her lifetime.",NA,NA,NA,NA,NA,NA,NA,NA,25,18.4692427,-33.952487,"Cecil Rd., Rosebank, Western Cape, South Africa"
"Prins & Prins",136,"Prins & Prins","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,60,18.4195,-33.92081,"66 Loop Street, Cape Town Central, Western Cape, South Africa"
"Shimansky Jewellers",138,"Shimansky Jewellers","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,78,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"Warrior Toy Museum",140,"Warrior Toy Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,28,18.4325669,-34.1933693,"St George's Street, Simon's Town, Western Cape, South Africa"
"Bo-kaap",142,"Bo-kaap","museums","The Bo-Kaap is an area of Cape Town, South Africa formerly known as the Malay Quarter. It is a former township, situated on the slopes of Signal Hill above the city centre and is an historical centre of Cape Malay culture in Cape Town.",NA,NA,NA,NA,NA,NA,NA,NA,701,18.4187029,-33.9242692,"Cape Town Central, Western Cape, South Africa"
"Company's Gardens",144,"Company's Gardens","museums","Gardens is an inner-city suburb of Cape Town located just to the south of the city centre located in the higher elevations of the ""City Bowl"". It is located directly beneath Table Mountain and Lion's Head.",NA,NA,NA,NA,NA,NA,NA,NA,808,18.4161928,-33.9271325,"19 Queen Victoria Street, Cape Town Central, Western Cape, South Africa"
"Cape Town Holocaust Centre",146,"Cape Town Holocaust Centre","museums","The Cape Town Holocaust Centre began as Africa's first Holocaust centre. The facility is one of three centres established by the South African Holocaust and Genocide Foundation. The other two are located in Johannesburg and Durban. It is in the Albow centre in Gardens, central Cape Town, South Africa.",NA,NA,NA,NA,NA,NA,NA,NA,43,18.41515,-33.93188,"88 Hatfield Street Gardens, Cape Town Central, Western Cape, South Africa"
"Castle of Good Hope",148,"Castle of Good Hope","museums","The Castle of Good Hope is a star fort built in the 17th century in Cape Town, South Africa. Originally located on the coastline of Table Bay, following land reclamation the fort is now located inland.",NA,NA,NA,NA,NA,NA,NA,NA,447,21.8568586,-33.2277918,"Corner of Buitenkant and Strand streets, Cape Town Central, Western Cape, South Africa"
"Museum of Gems and Jewellery",150,"Museum of Gems and Jewellery","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,3,21.8568586,-33.2277918,"Huguenot House, Cape Town Central, Western Cape, South Africa"
"Noorul Islam Heritage Museum",152,"Noorul Islam Heritage Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,3,18.4350733,-34.1928392,"Amlay House, King George Way, Simon's Town, Western Cape, South Africa"
"Cafe Riteve",154,"Cafe Riteve","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,4,18.4168398,-33.9303541,"91 St Johns Street, Cape Town Central, Western Cape, South Africa"
"Iziko Maritime Centre",156,"Iziko Maritime Centre","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,6,23.1160529,-33.662016,"1st Floor, Union-Castle House,, Cape Town, Western Cape, South Africa"
"Robben Island",158,"Robben Island","museums","Robben Island is an island in Table Bay, 6.9 km west of the coast of Bloubergstrand, Cape Town, South Africa. The name is Dutch for ""seal island."" Robben Island is roughly oval in shape, 3.3 km long north-south, and 1.9 km wide, with an area of 5.07 km². It is flat and only a few metres above sea level, as a result of an ancient erosion event.",NA,NA,NA,NA,NA,NA,NA,NA,3872,21.8568586,-33.2277918,"Private Bag, Robben Island, Cape Town Central, Western Cape, South Africa"
"Langa Township",160,"Langa Township","museums","Langa is a township and suburb of Cape Town, South Africa. It was established in 1927 in terms of the 1923 Urban Areas Act. Similar to Nyanga, Langa is one of the many areas in South Africa that were designated for Black Africans before the apartheid era.",NA,NA,NA,NA,NA,NA,NA,NA,979,18.4306491,-33.9206345,"Jan Smuts Drive, the N2 and the N7, Cape Town Central, Western Cape, South Africa"
"Kumanov Cosmetics",162,"Kumanov Cosmetics","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,1026,18.6025199,-33.87092,"3 Viola Road, Cape Town Central, Western Cape, South Africa"
"Victoria & Alfred Waterfront",164,"Victoria & Alfred Waterfront","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,407,-82.5978593,28.5012482,"Breakwater Boulevard, V&A Waterfront, Cape Town Central, Western Cape, South Africa"
"Dorp Street",166,"Dorp Street","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,208,18.860152,-33.9321045,"Stellenbosch, Western Cape, South Africa"
"Lwandle Migrant Labour Museum",168,"Lwandle Migrant Labour Museum","museums","Lwandle Migrant Labour Museum - is 40 kilometres outside the city of Cape Town, just off the N2, in the region known as the Helderberg Basin. Lwandle was once inhabited by hunter-gatherer groups who secured their food from the nearby seashore.",NA,NA,NA,NA,NA,NA,NA,NA,235,18.8658843,-34.118626,"Vulindela Street, Cape Town Central, Western Cape, South Africa"
"SAS Assegaai Museum",170,"SAS Assegaai Museum","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,56,18.4356653,-34.1937654,"East Dockyard, Simon's Town, Western Cape, South Africa"
"The Lord Nelson Inn",172,"The Lord Nelson Inn","museums","Nelson is a village and community in the county borough of Caerphilly, Wales. It sits five miles north of Caerphilly and ten miles north of Cardiff, at the lower end of the Taff Bargoed Valley, and lies adjacent to Treharris, Trelewis and Quakers Yard.",NA,NA,NA,NA,NA,NA,NA,NA,38,18.42866,-34.19301,"58 St. George's Street, Simon's Town, Western Cape, South Africa"
"Jewel Africa",174,"Jewel Africa","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,315,18.41369,-33.92358,"170 Buitengracht Street, Cape Town Central, Western Cape, South Africa"
"Vergelegen Estate",176,"Vergelegen Estate","museums","Vergelegen is a historic wine estate in Somerset West, in the Western Cape province of South Africa.",NA,NA,NA,NA,NA,NA,NA,NA,174,18.8672486,-34.078518,"Lourensford Road, Somerset West, Western Cape, South Africa"
"African Trading Port",178,"African Trading Port","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,62,-122.9002982,46.9944511,"V & A Waterfront (near swinging bridge), Cape Town Central, Western Cape, South Africa"
"University of Cape Town",180,"University of Cape Town","museums","The University of Cape Town is a public research university located in Cape Town in the Western Cape province of South Africa. UCT was founded in 1829 as the South African College, and is the oldest university in South Africa and the second oldest extant university in Africa.",NA,NA,NA,NA,NA,NA,NA,NA,229,21.8568586,-33.2277918,"Private Bag, Cape Town Central, Western Cape, South Africa"
"Cape Medical Museum",182,"Cape Medical Museum","museums","The Cape Medical Museum is situated in the Old City Hospital Complex in Green Point, Cape Town, South Africa. Its exhibitions center around the medical history of the Cape and includes exhibitions on dentistry, hospital care, traditional African medicine and pharmaceutical developments.",NA,NA,NA,NA,NA,NA,NA,NA,64,18.415945,-33.926333,"Green Point, Cape Town Central, Western Cape, South Africa"
"Cheriton Guest House B&B",184,"Cheriton Guest House B&B","museums","There is no description available.",NA,NA,NA,NA,NA,NA,NA,NA,34,18.4441848,-34.1970445,"19 Belmont Rd, Simon's Town, Western Cape, South Africa"
